paper_id,year,src_code,dst_code,relation_type,evidence_type,is_causal,weight,stability
P2014A,2014,C2,C4,positive,regression,true,1.0,0.82
P2014B,2014,C4,C1,positive,regression,true,1.0,0.78
P2015A,2015,C1,C3,positive,regression,true,1.0,0.81
P2015B,2015,C2,C1,positive,iv,true,1.2,0.86
P2016A,2016,C5,C4,positive,regression,true,0.9,0.74
P2016B,2016,C4,C6,positive,regression,true,1.1,0.79
P2017A,2017,C6,C1,positive,regression,true,1.0,0.76
P2017B,2017,C7,C6,positive,regression,true,1.0,0.73
P2018A,2018,C2,C3,positive,meta,false,0.8,0.50
P2018B,2018,C5,C1,positive,regression,false,0.7,0.45
P2019A,2019,C1,C8,positive,regression,true,1.0,0.80
P2019B,2019,C8,C3,positive,regression,true,1.0,0.77
P2020A,2020,C2,C8,positive,regression,true,1.0,0.72
P2020B,2020,C7,C1,positive,regression,true,1.0,0.75
P2021A,2021,C2,C6,positive,iv,true,1.2,0.84
P2021B,2021,C6,C3,positive,regression,true,1.0,0.83
P2022A,2022,C5,C6,positive,regression,true,1.1,0.78
P2022B,2022,C7,C4,positive,regression,true,1.0,0.76
P2023A,2023,C7,C3,positive,regression,true,1.0,0.79
P2023B,2023,C5,C3,positive,regression,true,1.0,0.80
P2024A,2024,C2,C5,positive,regression,true,0.9,0.71
P2024B,2024,C8,C4,positive,regression,true,0.9,0.69
