stage,group,count,total,share
corpus_all,other,2291658,2541464,0.9017078345394623
corpus_all,environment_climate,86997,2541464,0.03423105737480445
corpus_all,macro_cycle_prices,43517,2541464,0.017122807956359013
corpus_all,labor_income_demand,32595,2541464,0.012825284953869108
corpus_all,finance_tax,30359,2541464,0.011945477095091648
corpus_all,trade_urban_structure,22750,2541464,0.008951533446863698
corpus_all,innovation_technology,17468,2541464,0.006873203791200662
corpus_all,uncertainty_risk,16120,2541464,0.006342800842349134
corpus_recent_2016,other,981247,1141198,0.8598393968443688
corpus_recent_2016,environment_climate,71743,1141198,0.06286639128354589
corpus_recent_2016,macro_cycle_prices,20914,1141198,0.018326355286286868
corpus_recent_2016,finance_tax,17118,1141198,0.015000026288163841
corpus_recent_2016,labor_income_demand,15120,1141198,0.013249234576296138
corpus_recent_2016,trade_urban_structure,13376,1141198,0.01172101598495616
corpus_recent_2016,innovation_technology,12456,1141198,0.0109148456271392
corpus_recent_2016,uncertainty_risk,9224,1141198,0.008082734109243093
h10_reranker_top100,other,118,200,0.59
h10_reranker_top100,environment_climate,43,200,0.215
h10_reranker_top100,macro_cycle_prices,17,200,0.085
h10_reranker_top100,innovation_technology,6,200,0.03
h10_reranker_top100,labor_income_demand,6,200,0.03
h10_reranker_top100,trade_urban_structure,5,200,0.025
h10_reranker_top100,finance_tax,4,200,0.02
h10_reranker_top100,uncertainty_risk,1,200,0.005
h10_shortlist_top100,environment_climate,70,200,0.35
h10_shortlist_top100,macro_cycle_prices,31,200,0.155
h10_shortlist_top100,other,25,200,0.125
h10_shortlist_top100,trade_urban_structure,22,200,0.11
h10_shortlist_top100,innovation_technology,19,200,0.095
h10_shortlist_top100,finance_tax,17,200,0.085
h10_shortlist_top100,labor_income_demand,13,200,0.065
h10_shortlist_top100,uncertainty_risk,3,200,0.015
h10_surface_top100,environment_climate,115,200,0.575
h10_surface_top100,macro_cycle_prices,26,200,0.13
h10_surface_top100,other,19,200,0.095
h10_surface_top100,finance_tax,12,200,0.06
h10_surface_top100,trade_urban_structure,10,200,0.05
h10_surface_top100,innovation_technology,8,200,0.04
h10_surface_top100,labor_income_demand,8,200,0.04
h10_surface_top100,uncertainty_risk,2,200,0.01
h10_transparent_top100,other,184,200,0.92
h10_transparent_top100,environment_climate,10,200,0.05
h10_transparent_top100,labor_income_demand,3,200,0.015
h10_transparent_top100,finance_tax,2,200,0.01
h10_transparent_top100,macro_cycle_prices,1,200,0.005
h5_reranker_top100,other,119,200,0.595
h5_reranker_top100,environment_climate,42,200,0.21
h5_reranker_top100,macro_cycle_prices,16,200,0.08
h5_reranker_top100,innovation_technology,6,200,0.03
h5_reranker_top100,labor_income_demand,6,200,0.03
h5_reranker_top100,trade_urban_structure,6,200,0.03
h5_reranker_top100,finance_tax,4,200,0.02
h5_reranker_top100,uncertainty_risk,1,200,0.005
h5_shortlist_top100,environment_climate,68,200,0.34
h5_shortlist_top100,macro_cycle_prices,31,200,0.155
h5_shortlist_top100,other,26,200,0.13
h5_shortlist_top100,trade_urban_structure,23,200,0.115
h5_shortlist_top100,innovation_technology,19,200,0.095
h5_shortlist_top100,finance_tax,17,200,0.085
h5_shortlist_top100,labor_income_demand,13,200,0.065
h5_shortlist_top100,uncertainty_risk,3,200,0.015
h5_surface_top100,environment_climate,114,200,0.57
h5_surface_top100,macro_cycle_prices,25,200,0.125
h5_surface_top100,other,18,200,0.09
h5_surface_top100,finance_tax,12,200,0.06
h5_surface_top100,trade_urban_structure,11,200,0.055
h5_surface_top100,innovation_technology,10,200,0.05
h5_surface_top100,labor_income_demand,8,200,0.04
h5_surface_top100,uncertainty_risk,2,200,0.01
h5_transparent_top100,other,184,200,0.92
h5_transparent_top100,environment_climate,10,200,0.05
h5_transparent_top100,labor_income_demand,3,200,0.015
h5_transparent_top100,finance_tax,2,200,0.01
h5_transparent_top100,macro_cycle_prices,1,200,0.005
